pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.046592,0.177528,0.101482,0.070020,0.198792,0.093839,0.078254,0.173413,0.094269,0.018804,0.167017,0.118751
0.052239,0.173862,0.108462,0.069468,0.198694,0.095802,0.076334,0.173793,0.094319,0.034551,0.159468,0.130189
0.056070,0.174128,0.107662,0.069810,0.198795,0.095871,0.077084,0.175237,0.094177,0.053981,0.161076,0.127386
0.059930,0.177007,0.101111,0.068695,0.202264,0.096989,0.074757,0.174462,0.089632,0.062893,0.169353,0.119102
0.062007,0.179635,0.090787,0.070535,0.204822,0.091286,0.073156,0.175111,0.092130,0.067996,0.177870,0.116216
0.068705,0.184017,0.078647,0.071436,0.203014,0.081765,0.073360,0.176816,0.089539,0.065788,0.190360,0.104328
0.078357,0.184398,0.073311,0.077912,0.196148,0.083834,0.073497,0.176397,0.087185,0.064709,0.199820,0.071923
0.077673,0.184942,0.066173,0.083371,0.204359,0.090312,0.071016,0.176034,0.089192,0.069644,0.212903,0.058772
0.071049,0.188791,0.059397,0.083119,0.207900,0.086039,0.067199,0.176775,0.090482,0.067942,0.219872,0.038586
0.058768,0.194864,0.056672,0.077637,0.207818,0.085219,0.064017,0.181884,0.092022,0.058170,0.219361,0.028870
0.052378,0.203780,0.059451,0.071240,0.210332,0.087089,0.061757,0.182556,0.091570,0.034701,0.223462,0.036277
0.039855,0.209965,0.068379,0.068621,0.212312,0.093837,0.058907,0.184888,0.093702,0.009363,0.229331,0.050471
0.027179,0.211333,0.079291,0.056776,0.214336,0.094542,0.054243,0.185268,0.094586,-0.009958,0.222753,0.075802
0.017411,0.207596,0.094261,0.051094,0.218411,0.097031,0.050129,0.186299,0.096284,-0.017661,0.209857,0.102936
0.014623,0.200396,0.109635,0.042213,0.211921,0.100334,0.048415,0.185885,0.098591,-0.014623,0.196062,0.130070
0.018310,0.194356,0.119539,0.042968,0.212188,0.103869,0.047013,0.186188,0.100013,-0.000410,0.182528,0.141619
0.023439,0.190545,0.117272,0.042614,0.212150,0.105993,0.045916,0.187273,0.099849,0.017461,0.186542,0.138269
0.027060,0.191074,0.114997,0.042899,0.214367,0.104334,0.044081,0.187907,0.099165,NaN,NaN,NaN
0.028731,0.191702,0.104636,0.039107,0.213774,0.099644,0.042786,0.188267,0.098618,NaN,NaN,NaN
0.032699,0.193026,0.089579,0.045677,0.216566,0.097586,0.041138,0.187269,0.097454,NaN,NaN,NaN
0.040533,0.192022,0.078125,0.049266,0.214307,0.091534,0.038864,0.185836,0.095950,NaN,NaN,NaN
0.038968,0.191602,0.074607,0.050925,0.216578,0.092719,0.038466,0.186062,0.096153,NaN,NaN,NaN
0.032448,0.194743,0.067989,0.047579,0.215085,0.090855,0.033446,0.185307,0.096780,NaN,NaN,NaN
